step,alpha_s,exponent_inel,exponent_el,scale_inel,scale_el,pT 1.0 GeV,pT 2.0 GeV,pT 3.0 GeV,pT 4.0 GeV,pT 5.0 GeV,pT 6.0 GeV,pT 7.0 GeV,pT 8.0 GeV,pT 9.0 GeV,pT 10.0 GeV
50.0,0.127,1.88,0.6000000000000001,0.3790000000000001,0.24100000000000002,0.9388256212252967,0.9531906136999392,0.8320005723193719,0.7875455628313067,0.7657791167396042,0.7539358140422519,0.7472044307779888,0.7430987154049565,0.7391459490178179,0.7329451405954064
50.0,0.397,1.2400000000000002,-0.6000000000000001,0.3490000000000001,0.169,0.5196495308797788,0.5981560235842965,0.1275524048637211,0.06476655745109694,0.04443589707583824,0.03551722948260129,0.03091806085419659,0.0280336527152459,0.025339543126207464,0.02197485664084916
50.0,0.253,0.3599999999999999,1.7999999999999998,0.169,0.31900000000000006,0.8522361641482437,0.9284639197870802,0.39070673579548076,0.2733321712506818,0.22656029148846155,0.20331727484930437,0.19033566374181174,0.18204570757807623,0.17450091720052535,0.16485473200234743
50.0,0.10900000000000001,-0.43999999999999995,-1.6400000000000001,0.33100000000000007,0.15700000000000003,0.9610173142421707,0.9806121994674105,0.8153772385660375,0.7563455846618425,0.7274545002716288,0.7114811062032251,0.7020953251540436,0.6961075633014305,0.6905540624878896,0.6827197962929761
50.0,0.17500000000000002,-1.32,-1.24,0.17500000000000002,0.23500000000000004,0.8601506375057896,0.897734262050655,0.5979665759424185,0.5068935932118408,0.46556471598841076,0.4438251796637276,0.4315419419058407,0.42387441102926426,0.4166104300507008,0.4060936178924108
50.0,0.169,-1.16,-0.76,0.31300000000000006,0.30700000000000005,0.8728869827978591,0.924538943231477,0.5276282773969723,0.41892350484891266,0.37129887890713426,0.34647796819262017,0.3323430901443844,0.323357499360724,0.315038984772296,0.30371923277802415
50.0,0.115,-1.72,0.040000000000000036,0.18100000000000002,0.3730000000000001,0.9503060527860127,0.9693628218783024,0.8084859604372929,0.7510482207882604,0.7230294772963538,0.7076307830318126,0.6986664359134429,0.6930084796992807,0.6877123143020643,0.6800488050012593
50.0,0.133,1.48,-0.8399999999999999,0.3730000000000001,0.10300000000000001,0.9428646167531307,0.9597889509364367,0.8173693459898995,0.7658576140051633,0.7406790366905984,0.7269007298108848,0.7189634574611097,0.7140269709092334,0.7093477425116768,0.7023264044887695
55.0,0.10818181818181818,1.3090909090909086,0.5090909090909088,0.13545454545454547,0.19,0.9576999865341947,0.9785235412783843,0.8043921881960518,0.7426707005457818,0.712573568822346,0.6959700519219527,0.6862278676126864,0.6800153103558952,0.6742506975786748,0.6661217426567737
55.0,0.2990909090909091,0.581818181818182,0.290909090909091,0.11363636363636365,0.31545454545454554,0.7283889618980628,0.8296029135982879,0.2055699707811355,0.11138902240322711,0.0787415951415528,0.06367057767247812,0.055585839389354005,0.050462541874505946,0.04582065745089415,0.04013761087894708
55.0,0.39181818181818184,-1.9636363636363636,0.07272727272727231,0.380909090909091,0.14090909090909093,0.6238896366750525,1.0290108200883952,0.003045305911792184,0.0002429644619350963,5.88003036021834e-05,2.4527097289383544e-05,1.3504506877686853e-05,8.331792970263737e-06,5.189866384588941e-06,3.0846700277461036e-06
55.0,0.3481818181818182,0.1454545454545455,-0.290909090909091,0.17363636363636364,0.37,0.5734184749786898,0.6656801085874227,0.12830316048984253,0.06144976150073657,0.04022697118012521,0.030961020789642864,0.02616495820315413,0.023146342469956237,0.020386671514680387,0.017065410900297468
55.0,0.21181818181818182,-0.6545454545454545,-1.8181818181818181,0.14636363636363636,0.2063636363636364,0.8077034089931279,0.8557638293708019,0.4870152310820117,0.38635355475733596,0.3425658206487944,0.3200265651949178,0.3074270484057595,0.29955892171155507,0.2921090430645577,0.28148233034699266
55.0,0.3209090909090909,1.0181818181818176,1.1636363636363631,0.14090909090909093,0.1190909090909091,0.5645753152651599,0.6534065752626478,0.1319420505807982,0.06507948858978742,0.04362389602676846,0.03420154212777942,0.02930898125843224,0.02622488583602484,0.023387496338563196,0.019933182355465616
55.0,0.2063636363636364,1.5999999999999996,0.1454545454545455,0.39181818181818184,0.2990909090909091,0.8401560910825724,0.8738455667010869,0.6043908156761442,0.5206724781582189,0.4825279951167131,0.462562248032551,0.4514251055075518,0.444585679270634,0.43798814807322023,0.4280331024475375
